id,prediction
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,1
24,0
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,0
37,1
38,1
39,0
40,1
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,0
86,1
87,1
88,1
89,0
90,0
91,0
92,1
93,1
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,1
103,0
104,1
105,1
106,1
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,1
116,1
117,0
118,1
119,0
120,1
121,1
122,1
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,1
148,0
149,1
150,0
151,0
152,1
153,1
154,0
155,1
156,1
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,0
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,0
200,1
201,1
202,0
203,1
204,1
205,1
206,0
207,0
208,0
209,0
210,1
211,1
212,0
213,0
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,1
239,1
240,1
241,1
242,0
243,1
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,1
252,1
253,1
254,1
255,0
256,1
257,1
258,0
259,0
260,0
261,1
262,1
263,0
264,0
265,1
266,1
267,1
268,1
269,1
270,0
271,0
272,1
273,1
274,1
275,0
276,1
277,0
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,0
295,1
296,1
297,1
298,1
299,1
300,1
301,0
302,1
303,1
304,1
305,0
306,1
307,1
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,0
319,1
320,0
321,1
322,1
323,0
324,1
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,1
336,0
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,0
362,0
363,0
364,1
365,1
366,1
367,0
368,0
369,0
370,1
371,1
372,1
373,1
374,0
375,1
376,0
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,1
394,1
395,1
396,1
397,1
398,0
399,0
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,0
409,0
410,1
411,0
412,1
413,1
414,0
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,0
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,0
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,0
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,0
477,1
478,1
479,1
480,1
481,1
482,0
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,0
498,0
499,1
500,1
501,1
502,0
503,1
504,1
505,1
506,1
507,1
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,0
518,1
519,0
520,1
521,1
522,1
523,0
524,1
525,1
526,1
527,1
528,1
529,1
530,0
531,0
532,0
533,1
534,0
535,1
536,1
537,1
538,0
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,1
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,0
567,1
568,0
569,0
570,0
571,1
572,0
573,1
574,0
575,1
576,0
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,0
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,1
614,0
615,1
616,1
617,0
618,0
619,1
620,1
621,0
622,0
623,1
624,1
625,1
626,1
627,1
628,0
629,1
630,0
631,1
632,1
633,1
634,1
635,0
636,1
637,1
638,1
639,0
640,1
641,1
642,0
643,1
644,0
645,1
646,0
647,1
648,1
649,1
650,1
651,1
652,1
653,1
654,0
655,1
656,0
657,1
658,1
659,0
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,0
668,1
669,0
670,1
671,0
672,1
673,0
674,1
675,1
676,0
677,1
678,1
679,0
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,1
688,1
689,1
690,1
691,0
692,1
693,1
694,1
695,0
696,0
697,0
698,1
699,1
700,1
701,1
702,1
703,1
704,1
705,1
706,0
707,0
708,0
709,0
710,1
711,0
712,1
713,0
714,0
715,1
716,1
717,0
718,1
719,1
720,0
721,1
722,0
723,1
724,1
725,1
726,0
727,0
728,1
729,0
730,1
731,1
732,1
733,1
734,1
735,1
736,1
737,1
738,1
739,0
740,1
741,1
742,1
743,1
